location,start_date,end_date,minimum,q25,median,q75,maximum,mean,sd
,,,,,,,,,
Arbor Heights,1/1/2019,12/31/2023,-0.908629417,-0.084745765,0.2926829159259796,0.4545454680919647,0.7204301357269287,0.20502562820911407,0.2924513816833496
Alki,1/1/2019,12/31/2023,-0.590697646,-0.01754386,0.1515151560306549,0.4881516695022583,0.8666666746139526,0.2283698469400406,0.26295843720436096
Atlantic,1/1/2019,12/31/2023,-0.677725136,-0.209302321,-0.06185567,0.2888889014720917,0.7647058963775635,0.028671117,0.2839963734149933
Ballard,1/1/2019,12/31/2023,-0.739130437,-0.294736832,-0.210031345,-0.063013695,0.6901408433914185,-0.147293895,0.22206753492355347
Broadway,1/1/2019,12/31/2023,-0.90476191,-0.366548032,-0.194570139,0.1489361673593521,0.8139534592628479,-0.094365567,0.33439862728118896
Columbia City,1/1/2019,12/31/2023,-0.807692289,-0.180645168,0.1230769231915474,0.4052044749259949,0.81621623,0.11867529898881912,0.30676358938217163
Genesee,1/1/2019,12/31/2023,-0.581395328,-0.200000003,-0.057692308,0.2657342553138733,0.7064220309257507,0.024427602,0.2666807770729065
Harbor Island,1/1/2019,12/31/2023,-0.794871807,-0.344444454,-0.303964764,-0.214285716,0.6555023789405823,-0.264136732,0.14221403002738953
Harrison/Denny-Blaine,1/1/2019,12/31/2023,-0.860759497,-0.090909094,0.24429967999458313,0.44329896569252014,0.8074866533279419,0.18817874789237976,0.2907474637031555
Industrial District,1/1/2019,12/31/2023,-0.948717952,-0.288288295,-0.233898312,-0.12686567,0.728260875,-0.182919994,0.1791621595621109
Interbay,1/1/2019,12/31/2023,-0.743589759,-0.287671238,-0.195266277,-0.041474655,0.7044335007667542,-0.108446613,0.26695549488067627
International District,1/1/2019,12/31/2023,-0.739130437,-0.278350502,-0.195876285,-0.05820106,0.7058823704719543,-0.139096692,0.21841129660606384
Leschi,1/1/2019,12/31/2023,-0.881188095,-0.161290318,0.16955018043518066,0.4166666567325592,0.8020833134651184,0.13729031383991241,0.3073425889015198
Lower Queen Anne,1/1/2019,12/31/2023,-0.797979772,-0.261538476,-0.148788929,-0.006864989,0.7085427045822144,-0.093530893,0.23720145225524902
Madison Park,1/1/2019,12/31/2023,-0.53191489,-0.252427191,-0.108280256,0.3449477255344391,0.7025641202926636,0.019711064,0.31121769547462463
Madrona,1/1/2019,12/31/2023,-0.692307711,-0.161825731,0.1525423675775528,0.4084506928920746,0.8026315569877625,0.13101360201835632,0.3033263385295868
Mann,1/1/2019,12/31/2023,-0.624242425,-0.189873412,-0.009259259,0.3357400596141815,0.7777777910232544,0.066453353,0.2908375561237335
Mid-Beacon Hill,1/1/2019,12/31/2023,-0.803468227,-0.122807018,0.20987653732299805,0.39768341183662415,0.7631579041481018,0.15862996876239777,0.27684274315834045
Minor,1/1/2019,12/31/2023,-0.626168251,-0.224755704,-0.101449274,0.1856677532196045,0.739130437,-0.014533103,0.2681606411933899
North Admiral,1/1/2019,12/31/2023,-0.822222233,-0.104000002,0.2774193584918976,0.43939393758773804,0.7237569093704224,0.19226431846618652,0.29229140281677246
North Beach/Blue Ridge,1/1/2019,12/31/2023,-0.933333337,-0.232876718,0.11538461595773697,0.4095238149166107,0.7599999904632568,0.095815621,0.3319077491760254
North Delridge,1/1/2019,12/31/2023,-0.764705896,0.1111111119389534,0.33557048439979553,0.4393305480480194,0.7272727489471436,0.2515399158000946,0.2550497353076935
Olympic Hills,1/1/2019,12/31/2023,-0.840425551,-0.146341458,0.16546761989593506,0.46268656849861145,0.8181818127632141,0.16229398548603058,0.31535133719444275
Pinehurst,1/1/2019,12/31/2023,-0.879781425,-0.139240503,0.19230769574642181,0.4838709533214569,0.843478262,0.17845351994037628,0.31903135776519775
Riverview,1/1/2019,12/31/2023,-0.649999976,-0.025,0.3125,0.4507042169570923,0.7823129296302795,0.22549590468406677,0.2807481586933136
Roxhill,1/1/2019,12/31/2023,-0.813953459,-0.175572515,0.029411764815449715,0.317241371,0.7297297120094299,0.067078851,0.27764663100242615
Sand Point,1/1/2019,12/31/2023,-0.755102038,0.12328767031431198,0.2868216931819916,0.4163424074649811,0.7368420958518982,0.23839449882507324,0.23780378699302673
Seaview,1/1/2019,12/31/2023,-0.885714293,-0.19732441,0.073170729,0.35689047,0.7355371713638306,0.079036579,0.299012154
Seward Park,1/1/2019,12/31/2023,-0.8125,0.086956523,0.3799999952316284,0.5044247508049011,0.7129186391830444,0.2644129693508148,0.3118147850036621
South Beacon Hill,1/1/2019,12/31/2023,-0.526011586,-0.257641912,-0.197026029,-0.10040161,0.6585366129875183,-0.13517338,0.19369539618492126
Sunset Hill,1/1/2019,12/31/2023,-0.869047642,-0.205211729,0.21052631735801697,0.420560747,0.743842363,0.13159729540348053,0.32183390855789185
University Heights,1/1/2019,12/31/2023,-0.747663558,-0.162162155,0.004545454,0.34090909361839294,0.8198198080062866,0.085260026,0.2805333435535431
University of Washington,1/1/2019,12/31/2023,-0.6875,-0.166666672,0.064748198,0.39759036898612976,0.7976190447807312,0.10789252817630768,0.3003981113433838
View Ridge,1/1/2019,12/31/2023,-0.907284796,-0.163636357,0.20000000298023224,0.44223108887672424,0.8011695742607117,0.14839336276054382,0.31276753544807434
Wedgwood,1/1/2019,12/31/2023,-0.879781425,-0.132075474,0.20202019810676575,0.45644599199295044,0.8245614171028137,0.1718737632036209,0.30686819553375244
Westlake,1/1/2019,12/31/2023,-0.609756112,-0.25,-0.159420297,-0.007194245,0.7333333492279053,-0.082046598,0.23837997019290924
Windermere,1/1/2019,12/31/2023,-0.903743327,-0.155844152,0.17777778208255768,0.4245283007621765,0.7448979616165161,0.14099304378032684,0.30439260601997375
